price;title;link
2.099;"Smart TV Philips 7000 Series 50PUG7406/78 LED 4K 50"" 110V/240V";https://www.mercadolivre.com.br/smart-tv-philips-7000-series-50pug740678-led-4k-50-110v240v/p/MLB18750740?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB18750740&position=1&search_layout=grid&type=product&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=DEAL_OF_THE_DAY
898;Samsung Galaxy A03s Dual SIM 64 GB preto 4 GB RAM;https://www.mercadolivre.com.br/samsung-galaxy-a03s-dual-sim-64-gb-preto-4-gb-ram/p/MLB18471787?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB18471787&position=2&search_layout=grid&type=product&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=DEAL_OF_THE_DAY
788;Impressora a cor multifuncional HP Ink Tank Wireless 416 com wifi preta 100V/240V;https://www.mercadolivre.com.br/impressora-a-cor-multifuncional-hp-ink-tank-wireless-416-com-wifi-preta-100v240v/p/MLB14997377?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB14997377&position=3&search_layout=grid&type=product&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=DEAL_OF_THE_DAY
91;Kit Whey Protein 2kg + Bcaa + Creatina + Shaker;https://produto.mercadolivre.com.br/MLB-2868611198-kit-whey-protein-2kg-bcaa-creatina-shaker-_JM?hide_psmb=true#position=31&search_layout=grid&type=item&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=DEAL_OF_THE_DAY
179;Pistola Pintura Pulverizadora Tinta Paint Com Bico De Metal;https://produto.mercadolivre.com.br/MLB-830771576-pistola-pintura-pulverizadora-tinta-paint-com-bico-de-metal-_JM?hide_psmb=true#position=32&search_layout=grid&type=item&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=DEAL_OF_THE_DAY
689;Monitor Samsung Gamer 22 Led Ls22a33anhlxzd Preto 100v/240v;https://www.mercadolivre.com.br/monitor-samsung-gamer-22-led-ls22a33anhlxzd-preto-100v240v/p/MLB19784341?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB19784341&position=4&search_layout=grid&type=product&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=DEAL_OF_THE_DAY
589;Robô aspirador e passa pano Wap Robot W100  preto 127V/220V;https://www.mercadolivre.com.br/rob-aspirador-e-passa-pano-wap-robot-w100-preto-127v220v/p/MLB15711832?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB15711832&position=5&search_layout=grid&type=product&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=DEAL_OF_THE_DAY
1.099;Smartphone Motorola Moto G32 128gb 4gb Ram 6,5 - Vermelho;https://produto.mercadolivre.com.br/MLB-3112429510-smartphone-motorola-moto-g32-128gb-4gb-ram-65-vermelho-_JM?hide_psmb=true#position=33&search_layout=grid&type=item&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=DEAL_OF_THE_DAY
389;Impressora a cor multifuncional HP Deskjet Ink Advantage 2774 com wifi preta 100V/240V;https://www.mercadolivre.com.br/impressora-a-cor-multifuncional-hp-deskjet-ink-advantage-2774-com-wifi-preta-100v240v/p/MLB17509710?pdp_filters=deal:MLB779362-1&hide_psmb=true#searchVariation=MLB17509710&position=6&search_layout=grid&type=product&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=DEAL_OF_THE_DAY
139;Kit 2x Whey Protein + 2x Bcaa + 2x Creatina + Coqueteleira;https://produto.mercadolivre.com.br/MLB-2872539940-kit-2x-whey-protein-2x-bcaa-2x-creatina-coqueteleira-_JM?hide_psmb=true#position=34&search_layout=grid&type=item&tracking_id=5396f083-3bdd-4d08-8588-3d030415818d&deal_print_id=0b56e69a-7017-4cfb-9f92-eb1a01d30a87&promotion_type=DEAL_OF_THE_DAY
